gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC102635879,6.660385795320738,0.13087386661861045,0.3987966480193916,0.3281719324086362,0.7427816684185209,0.8440677385411685
LOC105246325,0.6830680212558797,0.5466633683713166,1.139420752081433,0.479773049045053,0.6313887787150109,NA
Galm,177.50147065574254,-0.3109219842807206,0.09674443615603626,-3.2138487403993308,0.0013096864673634691,0.005891278971585251
Srsf7,5520.665222012994,-0.1314004602369713,0.06863907583254594,-1.914368144430441,0.05557313290056388,0.13345806791208092
Gemin6,140.04424776566864,0.20682568215376995,0.08734959618511434,2.367792081321792,0.01789458908935344,0.053567414375958765
Ttc39d,2.321214939561608,-0.691364021242371,0.6600348126096631,-1.047465994269056,0.29488470812344014,0.4634692371131133
Dhx57,1515.3821691250057,-0.13875929078573862,0.05166287151511971,-2.68586098132639,0.007234318175799684,0.025261779262912867
Morn2,244.6014476546741,-0.6625277561707382,0.08652275990777558,-7.657265635965902,1.8993351965509665e-14,1.02577705469464e-12
Arhgef33,9494.774157199905,-0.218301417248889,0.058834761300539336,-3.7104156186469957,2.0691925906688024e-4,0.0012163536727587143
Gm10190,7.77177890748494,-0.042167418038910345,0.35866379242502855,-0.1175680928197529,0.9064098878072958,0.9466445829009935
Sos1,2970.5175140734395,-0.13124979270714604,0.06976386829524424,-1.8813433932833288,0.059925221765495564,0.14164029547203702
Cdkl4,82.80642559546916,0.280248429981962,0.17696404310763827,1.5836461750113893,0.11327425984828783,0.23096072307187537
Gm33373,48.65227193246237,0.14047448105609522,0.15001320314459832,0.9364141163007587,0.34906001266028086,0.521218124195329
F420015M19Rik,31.022308406760768,-0.24544481287652056,0.21000564219240606,-1.1687534216420972,0.24250299161772787,0.4055573158176188
Map4k3,4005.6255799965434,0.05004616273366281,0.046804545760327124,1.0692585927430018,0.28495316322670555,0.4527636985917346
Gm33596,0.6460662314260213,1.8406487271170422,1.2757588633612693,1.4427873322921272,0.14908038872183657,NA
C230072F16Rik,74.44544171301646,0.017068937413996413,0.24372446044831708,0.07003374787495308,0.9441667986524827,0.9692419787300965
Tmem178,4416.862211958562,0.07148943399736592,0.06430781450017131,1.1116756890747,0.2662776161727385,0.4323787620671327
Thumpd2,205.09186603028192,0.17957208423792584,0.09352052369927678,1.920135571688576,0.054840777152907194,0.13195132880609134
Gm33944,0.43479058406219306,-1.0475459906674753,1.827316555689928,-0.5732701252038732,0.5664618099337368,NA
Slc8a1,5584.227225544298,-0.31024496589191103,0.08706588563527394,-3.5633355547723062,3.6617211815729764e-4,0.0019798189825977553
LOC105246327,0.26605159746605883,0.0043545956476873145,1.9429707406795507,0.0022412049530732008,0.9982117786673873,NA
Gm6594,0.3018276019909751,0.8266153569031119,1.921296252635628,0.4302383642133084,0.667022257465886,NA
Gm34265,0.2692187813112806,0.004353923667524754,2.179475926519238,0.0019976929382644055,0.998406072707502,NA
Gm19689,2.134679791191853,0.0905751996239884,0.728965382830006,0.12425171586660988,0.90111597611156,0.9441216036341735
LOC105246329,0.594130143903334,0.5368285378187208,1.219266350047707,0.44028816000516696,0.6597284149752738,NA
Gm34686,7.787921476701598,0.13558037389122934,0.3743784577603936,0.36214790429529015,0.717241507259872,0.8268802399738927
Pkdcc,193.78401012429688,0.15886829447634945,0.11184626037170833,1.4204166858003902,0.15548640792635626,0.29251760925984105
Eml4,1407.685292240819,-0.011686096876392688,0.04780187045373165,-0.24446944785777547,0.806867261290018,0.8856757319126219
LOC105246332,20.299164747998294,0.5137701831604861,0.27302175990294836,1.8817920716030732,0.05986425271925758,0.14152574640147025
Cox7a2l,3415.7790654231603,0.1028413312742879,0.06297584476990112,1.6330282134371659,0.1024630630190237,0.2144778478102823
LOC105246334,4.311289738487028,0.5032507165976786,0.5028799999895819,1.0007371870189794,0.3169538840064331,0.48735966104630485
Gm34801,1.2012620108260963,1.7371707935169474,1.007586128052758,1.7240916137602758,0.08469130578478541,NA
LOC105246335,3.6961549628189165,-0.21929362123924503,0.6263533844142463,-0.35011165692722207,0.7262549029180796,0.8334036439184656
Kcng3,2.1036181250073596,0.04587096202099881,0.8708070546844828,0.052676378509151044,0.957989760107964,0.9777750825344362
Mta3,3539.975623895445,0.2698242561724661,0.06226962526437416,4.333160108590513,1.4698413332126925e-5,1.2222038477566525e-4
Haao,7.413074542602462,0.5717882342755359,0.37548854293104433,1.522784769442461,0.12781256164393504,0.25292767524681953
C430042M11Rik,1.0871979923563253,0.7471120368274794,1.228124944655721,0.6083355281387242,0.5429649620241492,NA
Gm35125,11.61100428352205,-0.6867996716031709,0.2982246921550505,-2.3029604511959585,0.021281068379206583,0.061690023270358836
