Feature,AM1,AM2,AM3,FM3,FM4,FM5
Pcyt1b,1184.8428867604243,1177.4144779204773,1087.1537629752104,2096.3672831339923,2551.87831888362,2311.817484063759
Pcyt2,1526.3389568793436,2261.568403134382,1917.325657694046,1695.4069200150311,2011.0078637306526,1574.4704315289648
Pdap1,2229.1279707472645,2517.0634589867627,2503.565544653901,3700.2087356098377,3808.758233715278,3247.7194262527128
Pdc,0,0,0,0,0,0
Pdcd1,0.989843681504114,1.9429281813869261,3.0115062686293914,0,0,0
Pdcd10,331.5976333038782,260.3523763058481,258.98953910212765,203.37172263966548,210.16680543086738,275.3826610278798
Pdcd11,611.7233951695424,763.570775285062,707.703973127907,1639.5037924647913,1638.0648070347015,1452.7433132485253
Pdcd1lg2,3.959374726016456,0,3.0115062686293914,0,1.0302294383866049,0
Pdcd2,0,0,0,0,0,0
Pdcd2l,215.78592256789685,238.00870221989845,267.02022248513936,334.4549182747105,373.9732861343375,351.2126691370061
Pdcd4,1722.3280058171583,1688.404589625239,1738.6429524220355,1410.1082001034624,1426.8677721654476,1234.2331583024902
Pdcd5,293.98357340672186,294.35361948011933,325.2426770119743,415.41806851988537,526.447243015555,465.9554445652893
Pdcd6,922.5343111618342,918.0335657053226,1073.10006705494,887.7031116167389,854.0602044224954,831.1367994066081
Pdcd6ip,2101.438135833234,1897.2693691243335,1781.8078756057234,1192.2787720628728,1106.4664168272136,1285.1190847967723
Pdcd7,465.22653030693357,503.2183989792139,517.9790782042553,452.0442555355597,445.05911738301324,405.0918854250695
Pdcl,674.0835471043016,564.420636692902,664.5390499442191,1356.1327666066793,1218.7614256113534,1285.1190847967723
Pdcl2,0.989843681504114,0,0,0,0,0
Pdcl3,490.96246602604054,564.420636692902,513.9637365127495,1252.0372877200257,1333.1168932722667,1045.6559012942682
Pddc1,396.9273162831497,461.445443079395,540.0634575075376,552.2843463153,610.9260569632567,544.7787424681969
Pde10a,5324.369162810629,6040.563715931953,7330.006257843939,3335.8745595065507,2688.8988341890386,3232.752977283806
Pde11a,136.59842804756772,148.63400587609985,118.45257989942273,31.806951882032987,19.57435932934549,25.94184487943795
Pde12,237.56248356098735,258.40944812446116,222.85146387857498,432.7673150009943,364.7012211888581,480.9218935341959
Pde1a,4889.827786630323,4355.073518578795,4325.526837174682,475.17658417703825,646.9840873067878,678.4790199237618
Pde1b,5439.191029865106,6240.685318614806,6727.705004118061,1629.8653221975085,1511.3465861131492,1480.6806846571508
Pde1c,97.00468078740317,101.03226543212016,107.41039024778163,210.11865182676337,128.77867979832558,166.62646518715914
Pde2a,9143.1860860535,9856.474664175876,11483.877237706747,1725.2861778436074,2265.474535012144,1899.741255786533
Pde3a,64.33983929776741,103.94665770420055,67.25697333272308,137.83012482214295,93.75087889318104,112.74724889909571
Pde3b,364.26247479351395,326.4119344730036,293.11994347992743,479.03197228395135,491.4194421104105,580.6982199935726
Pde4a,2670.5982526980993,2878.448100724731,3040.617495892809,815.4145846121183,888.0577758892533,760.2956076204507
Pde4b,2374.6349919283693,2272.25450813201,2552.7534803748476,871.3177121623582,963.2645248914755,1033.6827421191429
Pde4c,61.37030825325507,36.915635446351594,63.241631641217225,5.783082160369634,7.211606068706233,4.9888163229688365
Pde4d,1052.203833438873,1064.7246434000356,997.812410339205,1025.5332364388819,875.6950226286141,1032.6849788545492
Pde4dip,5750.991789538902,6336.860263593459,6051.1199290993245,5610.553542585273,5547.785525711866,5543.572698082971
Pde5a,131.64920964004716,113.66129861113518,121.46408616805212,243.8532977622529,179.25992227926923,214.51910188765999
Pde6a,5.9390620890246835,6.800248634854242,2.0076708457529278,0,0,0.9977632645937673
Pde6b,1.979687363008228,1.9429281813869261,6.023012537258783,0,0,0
Pde6c,2.9695310445123417,1.9429281813869261,12.046025074517566,0,1.0302294383866049,0.9977632645937673
Pde6d,697.8397954604003,816.029836182509,684.6157584017484,779.7522446231724,834.4858450931499,658.5237546318864
