Feature,AM1,AM2,AM3,FM3,FM4,FM5
Tmem54,2,1,1,0,0,0
Tmem55a,836,821,687,626,558,666
Tmem55b,1047,1159,1262,954,876,867
Tmem56,1620,1398,1283,290,218,333
Tmem57,1607,1613,1547,3956,3703,3976
Tmem59,2778,2776,2438,1359,1258,1388
Tmem59l,3859,4076,3891,486,609,586
Tmem60,295,260,271,182,187,186
Tmem61,0,3,1,0,0,0
Tmem62,475,544,530,221,283,265
Tmem63a,661,931,758,33,17,16
Tmem63b,2703,3257,3150,4258,4195,3689
Tmem63c,775,965,981,441,510,526
Tmem64,1179,1221,1076,218,179,198
Tmem65,2015,2110,2016,1721,1517,1806
Tmem66,4122,4582,4524,1801,1818,1762
Tmem67,297,284,311,555,454,580
Tmem68,728,602,646,532,465,678
Tmem69,109,55,68,110,124,142
Tmem70,707,739,665,471,475,499
Tmem71,8,11,9,5,5,3
Tmem72,98,94,74,1,1,2
Tmem74,287,248,189,980,902,1161
Tmem79,28,22,17,30,32,22
Tmem8,280,358,413,92,101,102
Tmem80,420,506,515,506,476,474
Tmem81,51,63,70,45,44,42
Tmem82,48,5,48,3,4,2
Tmem85,1730,1973,1952,870,898,850
Tmem86a,218,267,259,164,128,138
Tmem86b,76,101,95,225,198,170
Tmem87a,715,684,682,615,615,660
Tmem87b,935,827,890,988,956,1063
Tmem88,53,29,40,13,17,12
Tmem88b,926,1344,766,9,13,17
Tmem89,3,2,1,0,0,0
Tmem8b,2402,2561,2309,2038,1887,1732
Tmem8c,9,7,4,1,0,0
Tmem9,1004,1189,1230,957,894,806
Tmem90a,1037,1513,1255,195,247,231
Tmem90b,768,655,843,188,217,223
Tmem91,347,487,401,100,99,82
Tmem92,0,0,0,0,0,0
Tmem93,683,664,547,587,536,594
Tmem97,218,251,245,192,211,171
Tmem98,251,282,222,244,170,208
Tmem9b,1731,1691,1415,568,605,627
Tmf1,1055,996,884,794,657,781
Tmhs,67,84,75,58,55,70
Tmie,135,151,107,21,28,16
Tmigd1,0,0,0,0,0,0
