Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM7760547,"rna-seq_bat_control_female_8w_biological_rep1_vial_90245016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997662",SRX20997662,"Euan Ashley","Sep 30, 2023"
GSM7760548,"rna-seq_bat_control_female_8w_biological_rep2_vial_90248016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997663",SRX20997663,"Euan Ashley","Sep 30, 2023"
GSM7760549,"rna-seq_bat_training_female_8w_biological_rep1_vial_90251016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997664",SRX20997664,"Euan Ashley","Sep 30, 2023"
GSM7760550,"rna-seq_bat_control_female_8w_biological_rep3_vial_90252016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997648",SRX20997648,"Euan Ashley","Sep 30, 2023"
GSM7760551,"rna-seq_bat_training_female_8w_biological_rep2_vial_90254016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997649",SRX20997649,"Euan Ashley","Sep 30, 2023"
GSM7760552,"rna-seq_bat_training_female_8w_biological_rep3_vial_90258016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997650",SRX20997650,"Euan Ashley","Sep 30, 2023"
GSM7760553,"rna-seq_bat_training_female_8w_biological_rep4_vial_90259016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997651",SRX20997651,"Euan Ashley","Sep 30, 2023"
GSM7760554,"rna-seq_bat_control_female_8w_biological_rep4_vial_90265016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997652",SRX20997652,"Euan Ashley","Sep 30, 2023"
GSM7760555,"rna-seq_bat_control_female_8w_biological_rep5_vial_90266016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997655",SRX20997655,"Euan Ashley","Sep 30, 2023"
GSM7760556,"rna-seq_bat_training_female_8w_biological_rep5_vial_90267016902","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997656",SRX20997656,"Euan Ashley","Sep 30, 2023"
