ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000053897,114.31619818834083,1.1064440126938644,0.165282912272714,6.69424320687338,2.1679061060115513e-11,1.297475836657136e-10
ENSMUSG00000050211,39.43882789947379,4.681003938848954,0.6994610045505565,6.692301512729456,2.1968762265233113e-11,1.3143639615535016e-10
ENSMUSG00000036698,5710.56239875964,0.6245229333758362,0.09333621845007539,6.691110307944255,2.2148362520278527e-11,1.3246555742186438e-10
ENSMUSG00000052776,24.27168120964583,3.8771203674907424,0.5796619742401964,6.688588418401528,2.2533348742062127e-11,1.3472197211629888e-10
ENSMUSG00000040263,542.5195653092568,0.5976459920386565,0.08938104101146903,6.686496210778849,2.2857706280310545e-11,1.366144812579628e-10
ENSMUSG00000028843,1377.842003715816,-0.8329930550348246,0.12460395091221338,-6.685125543263786,2.3072676069088352e-11,1.3785213779992254e-10
ENSMUSG00000022564,2310.869363560084,-0.6816047154177454,0.10197636974845765,-6.683947635114304,2.3258994591125936e-11,1.3891782410494705e-10
ENSMUSG00000031149,1205.3757685569283,-0.5358303233513685,0.08017011311837409,-6.683666799374419,2.3303633465942047e-11,1.3913686830143798e-10
ENSMUSG00000040990,2036.7204150780606,-0.5892683535885015,0.08820824557914746,-6.680422558226295,2.3825425878143455e-11,1.422036863994418e-10
ENSMUSG00000044636,333.0215074592477,0.8441122242823025,0.12637967558353375,6.679177014696211,2.4028778595310893e-11,1.433684296653283e-10
ENSMUSG00000034285,349.71069199115726,0.79120860636172885,0.11848350534706939,6.677795394760397,2.425633563141664e-11,1.4467674410407945e-10
ENSMUSG00000042628,901.3917738771382,-0.5903189984736938,0.08844045982228457,-6.674761751125017,2.4763412748515567e-11,1.476507920534358e-10
ENSMUSG00000026018,34.71902184239401,-2.2277080480664506,0.3338730032639736,-6.672321590209957,2.5178805862888687e-11,1.500763351841233e-10
ENSMUSG00000028191,802.8582320018369,-0.524997705117907,0.0787527861780653,-6.666401667756264,2.6215118690458705e-11,1.5619990570338117e-10
ENSMUSG00000017417,31.286536450038042,-2.062481683347102,0.3094269950020228,-6.665487228525808,2.6378874985913e-11,1.5712204091506996e-10
ENSMUSG00000027326,394.3547159630166,1.049484427818128,0.15745397717226162,6.665340861285108,2.6405178989068422e-11,1.5722511143116064e-10
ENSMUSG00000028382,2765.653843004656,0.7458551983172348,0.11198855213451489,6.660102163133174,2.736373062226803e-11,1.628771291213024e-10
ENSMUSG00000048521,236.1603915793759,-1.4340220521082618,0.21533842602359582,-6.659387637351488,2.7497082778288065e-11,1.6361513492394159e-10
ENSMUSG00000001700,274.9823424546138,-0.6978052722910536,0.10479440143238322,-6.658802977574145,2.760667101566561e-11,1.6421128452287308e-10
ENSMUSG00000037369,916.16466532903,0.5322437105329899,0.07997030909452524,6.655516485548101,2.8230690850674894e-11,1.6786595274380205e-10
ENSMUSG00000036712,1178.276190384858,-0.6400463720498517,0.09619412341680225,-6.653695145976606,2.8582440156679417e-11,1.6989970382347375e-10
ENSMUSG00000024491,1164.4892339449977,0.718861065659907,0.10806614225560547,6.65204707649883,2.8904421059977856e-11,1.7175518228497045e-10
ENSMUSG00000028115,22.32474085029158,8.114557984358989,1.2199439011761004,6.651582893718358,2.899574673577702e-11,1.7223927081741737e-10
ENSMUSG00000030798,47.80036174747528,7.9798791073625495,1.200146670167274,6.649086570602516,2.9491750669649094e-11,1.751260653292895e-10
ENSMUSG00000020483,2202.423167733285,-0.5238546759551452,0.07879111190811985,-6.64865190081369,2.95789616639456e-11,1.7558425425386668e-10
ENSMUSG00000052516,479.3744435814194,-0.788274325825132,0.11856581346071784,-6.648411568367436,2.9627289641235546e-11,1.7581139607078295e-10
ENSMUSG00000037400,1681.311800924141,0.7614372394381185,0.11453645877853072,6.6479900597454655,2.971223668134425e-11,1.762556111453596e-10
ENSMUSG00000030844,73.40043949175809,-1.3307517483994953,0.20021409946531885,-6.646643527870067,2.9985204812615986e-11,1.7781450375981034e-10
ENSMUSG00000022471,572.591705961751,0.6181110222470366,0.09300453568595995,6.646030945567606,3.011019798714122e-11,1.7849513363941538e-10
ENSMUSG00000022195,611.5291090484968,0.591064296988277,0.08894938016432603,6.644951273368499,3.0331740231869146e-11,1.797474565301065e-10
ENSMUSG00000056116,196.58121584492594,-0.9319325308042877,0.14026603647773478,-6.644035535660257,3.052089388600336e-11,1.8080705872786663e-10
ENSMUSG00000044303,1672.7343662560531,-0.8466430768472697,0.1274304182643539,-6.643963728431872,3.053577501772575e-11,1.8083389476598946e-10
ENSMUSG00000056185,82.45143494708718,-1.2833847329773787,0.1932166064672133,-6.642207191415271,3.090201447003433e-11,1.8294076339935608e-10
ENSMUSG00000022021,865.7327753545705,0.8169650160927894,0.12301747158571223,6.64104867025795,3.1145916277481134e-11,1.8432220778035077e-10
ENSMUSG00000027030,592.7680177894625,-0.5709997133458966,0.08599700272929439,-6.639762959452409,3.141880108619497e-11,1.8587418048622626e-10
ENSMUSG00000030681,1945.391329133952,-0.48462976867804464,0.07300662353765273,-6.638161651567131,3.17619432531429e-11,1.8784060549505974e-10
ENSMUSG00000034714,702.4382235306972,-0.6573813973510055,0.09907462358714197,-6.635214685148916,3.2403056892760835e-11,1.915673109700615e-10
ENSMUSG00000021707,247.63755914662997,0.8796088348184321,0.13259699420701446,6.633701164033629,3.2737229181041594e-11,1.934774674535848e-10
ENSMUSG00000033033,192.31043671691262,-1.0140507764777853,0.152881296388005,-6.632928948379504,3.2909024728294425e-11,1.9442700777927076e-10
ENSMUSG00000036412,192.42695872333846,-1.0958904007324513,0.16530723956379806,-6.629415648245142,3.3701835558849326e-11,1.9904363327014797e-10
ENSMUSG00000033102,745.541486357185,0.7291425110888334,0.10999272784455298,6.629006529588872,3.379536349557737e-11,1.993937859735686e-10
ENSMUSG00000034116,30.23857038128457,6.959989178848385,1.0499229812132056,6.629047371461464,3.3786015301516685e-11,1.993937859735686e-10
ENSMUSG00000074115,55.09428338304959,7.957869192523264,1.200455831049846,6.629039558718119,3.378780334503614e-11,1.993937859735686e-10
ENSMUSG00000040260,235.003121085781,-0.9293686800784655,0.14023971365096638,-6.62700069676063,3.425760170462638e-11,2.0205276900061538e-10
ENSMUSG00000025353,430.77155529178634,0.7489029745730983,0.11306001822164267,6.623941746630097,3.497446402164828e-11,2.0621123403921548e-10
ENSMUSG00000041891,3223.7696394731724,-0.4015871336761926,0.06062993775186065,-6.6235781953094355,3.506063186970184e-11,2.0664954074348555e-10
ENSMUSG00000041817,22.16371095966353,4.141353306916819,0.6254189319714699,6.621726806162204,3.5502675708235194e-11,2.0918439953553755e-10
ENSMUSG00000033386,711.7975777992816,0.8297621453437523,0.125363498352475,6.618849635248477,3.620048368690784e-11,2.1322402225565743e-10
ENSMUSG00000037016,44.976742714717005,3.6107046300513197,0.54559357192893,6.617938362590636,3.642428273678076e-11,2.144699088006606e-10
ENSMUSG00000029480,655.1862222466319,0.6387861460244193,0.09652665918525995,6.61771733753285,3.647876787240466e-11,2.147183540198482e-10
ENSMUSG00000005952,24.311855973390617,4.355786059951797,0.6582510110739532,6.61721134745425,3.660380051453842e-11,2.1538174300740522e-10
ENSMUSG00000029061,426.0363714435845,-0.9019352045952607,0.13635502480707096,-6.6146092222960675,3.725345188174107e-11,2.191305738633052e-10
ENSMUSG00000032352,298.86341399909537,0.9030858483867021,0.1365619927189902,6.613010182452616,3.765825397079583e-11,2.214371244933703e-10
ENSMUSG00000027130,724.4567925780129,0.6760830138421183,0.10226570659661494,6.611043294395007,3.816208476305027e-11,2.2432423311254652e-10
