pid,sex,group,terminal.weight.bw,terminal.weight.lg,terminal.weight.mg,terminal.weight.pl,terminal.weight.sol
10046380,female,control,209.3,586,418,194,86
10417702,male,1w,337.5,854,620,302,147
10422463,male,1w,380.2,932,718,339,148
10424911,male,1w,333.6,833,574,294,132
10471596,male,1w,324.9,845,637,296,163
10478337,male,1w,311.1,815,588,277,133
10503110,male,1w,323.4,812,630,298,136
10536558,male,1w,334.3,892,680,297,139
10543767,male,1w,346.3,857,648,291,153
10553053,male,1w,389.3,903,741,351,155
10561072,male,1w,340.1,860,610,300,133
10616233,male,1w,299.7,764,560,287,133
10619259,male,1w,373.6,992,683,333,159
10621903,male,1w,316.9,825,624,321,123
10675086,male,1w,345.7,885,629,316,169
10677887,male,1w,336.1,800,584,287,129
10434046,male,2w,323.5,806,600,276,123
10436170,male,2w,337.1,796,618,320,134
10472053,male,2w,303.9,820,573,285,121
10486003,male,2w,313.7,861,585,297,157
10496580,male,2w,348,883,615,321,141
10502300,male,2w,399.4,1053,752,378,174
10531599,male,2w,333.1,893,650,298,151
10564179,male,2w,331.9,874,593,313,139
10587543,male,2w,326.5,814,577,293,126
10589325,male,2w,310.9,818,638,293,134
10591575,male,2w,326.6,858,672,303,140
10611193,male,2w,321.2,907,623,289,138
10637079,male,2w,314.5,893,621,300,145
10641858,male,2w,307.3,859,634,285,142
10672656,male,2w,326.3,886,534,304,139
10059369,male,4w,324.2,873,663,323,151
10063633,male,4w,332.9,833,651,291,131
10085017,male,4w,343.9,889,599,315,136
10088113,male,4w,271,769,527,256,123
10093702,male,4w,267.9,785,580,265,121
10095241,male,4w,307.7,787,605,280,137
10106383,male,4w,301.4,779,581,290,140
10136967,male,4w,353.9,978,691,351,146
10139044,male,4w,297.6,796,590,285,123
10139710,male,4w,265.4,665,513,249,107
10152148,male,4w,336.1,885,621,301,129
10171010,male,4w,311.3,847,602,279,133
10175431,male,4w,308.5,866,642,303,146
10179267,male,4w,311.7,836,592,297,117
10185585,male,4w,319.1,796,610,272,115
10204989,male,4w,313.3,858,646,325,135
10219315,male,4w,327.4,831,660,319,159
10220917,male,4w,298.1,828,589,296,130
10024735,male,8w,304.7,897,592,282,140
10025626,male,8w,293.3,809,653,316,136
10025707,male,8w,331,944,710,337,151
10025898,male,8w,321.1,870,670,306,146
10025979,male,8w,327,831,600,284,143
10026193,male,8w,321.2,844,654,338,154
10026436,male,8w,311.2,865,659,311,130
10026940,male,8w,326.5,806,622,282,133
10027084,male,8w,324.5,903,622,333,154
10027165,male,8w,305.2,819,618,320,142
10027246,male,8w,287.4,838,613,314,119
10027408,male,8w,312.6,847,611,319,139
10027912,male,8w,317.9,849,668,325,152
10023259,male,control,346.2,832,636,294,117
10024816,male,control,324.6,811,604,293,120
10025464,male,control,332.8,851,618,296,121
10025545,male,control,353.8,827,725,323,134
10026002,male,control,360.2,808,618,294,151
10026274,male,control,318.6,818,609,288,124
10026355,male,control,381.1,992,710,340,150
10026517,male,control,366.1,871,634,288,131
10026789,male,control,357.2,916,620,323,144
10027327,male,control,351.4,901,694,302,130
10027599,male,control,342.7,855,662,320,135
10027831,male,control,383.4,952,762,340,162
