gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gpr84,11.188451749036043,0.3676553453333144,0.3040064789815091,1.209366808776719,0.226521954304085,0.38592287171773487
Zfp385a,4324.9376857560965,0.18058323557796008,0.064246108725142,2.810804251982515,0.00494178411333658,0.01829745487015543
Itga5,113.86190393256274,0.12985563792307112,0.10376621526319417,1.2514250191519787,0.2107794539721655,0.3657172986742809
Gtsf1,2.422026521963357,1.4540199822125282,0.7218204621096956,2.014379002172925,0.04396975720272886,0.1106774337774205
BC048502,10.91056009289933,-0.5503227459566989,0.36399359668578773,-1.5119022723681514,0.13055872589184928,0.25705168770321124
Marcksl1-ps3,1.8310171103755521,-1.123648105950073,0.6720474643257192,-1.6719773015994566,0.09452879807445004,0.20146561352326764
Nckap1l,197.20131001769732,-0.08508330136562295,0.07568113039743493,-1.1242340186888473,0.26091376123696003,0.4264833172528738
Pde1b,1316.4921836735748,0.3847522603305669,0.1085140893301071,3.545643360284072,3.916558825506868e-4,0.0021011470124797926
Ppp1r1a,561.2480936301332,0.09342972015133272,0.08149331297409733,1.1464710016272057,0.2516003191560045,0.4161591364934965
LOC105246048,2.49045159330524,-0.7031305681444935,0.6175307481302972,-1.1386162879716801,0.25486323184570264,0.4197158316062015
Glycam1,0.45367653199748426,1.3453219921179123,1.5091543419158882,0.8914409578612159,0.37269265301996707,NA
Gm9108,8.074541407037982,-0.2777817641318629,0.3739194480192673,-0.7428919934583059,0.45754707348666007,0.6239002627445668
Mucl1,0.7550076373205463,-0.2645044010321973,1.1216988300685615,-0.23580696880643978,0.8135824603102834,NA
Gm21178,9.050260623933253,-0.3111375352234275,0.3300678098204802,-0.9426473166003416,0.3458613290078316,0.5178425164227863
Spt1,0.9729108155249037,-0.504299739612387,1.032692669919113,-0.48833477209815673,0.6253127356302328,NA
Mefv,0.5118900397932843,0.004354599432674307,1.703838505235184,0.0025557583182293634,0.9979608021167146,NA
Zfp263,1391.1234467125314,0.1070159828203801,0.04245186021589632,2.5208785263150237,0.011706225588629441,0.03784043272965421
Gm36195,19.094964831710744,-0.5516936903070081,0.24896813304557325,-2.21592090344358,0.02669691966059534,0.07413299958261746
LOC105246058,6.019495163045119,1.3141613809647934,0.4347489437982671,3.0228052298031405,0.0025044337614395103,0.010293327357258375
Zfp174,199.43214933817416,0.0016048832901510955,0.09544363193333133,0.016814985532739662,0.9865842148611565,0.9929158152742203
Zfp597,1368.2184529732542,-0.38223430879782594,0.06975636193346754,-5.4795619812053085,4.263800665663982e-8,6.683300849490206e-7
Naa60,4214.972059944977,-0.11831428387372118,0.037005806892130205,-3.1971815725732045,0.0013877754015369664,0.006186903375691885
LOC105246059,2.88478832010398,-0.3001739935542515,0.602590748660166,-0.49813906738806585,0.6183860261939477,0.7562023511196614
